Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub04,sub01,6000,0.20600808130058768,0.2207031863782283,0.9861224489795919,content_loss,VC,conv3_2
sub04,sub01,6000,0.18100571128663115,0.1975236337215547,0.9448979591836735,content_loss,VC,conv3_1
sub04,sub01,6000,0.10299103014887485,0.11832630408856877,0.9057142857142856,content_loss,VC,conv2_2
sub04,sub01,6000,0.17197180382731755,0.18776696877690344,0.8669387755102039,content_loss,VC,conv2_1
sub04,sub01,6000,0.15434821191853257,0.17337331827254654,0.7420408163265306,content_loss,VC,conv1_2
sub04,sub01,6000,0.1696577585781674,0.18899790151877174,0.7608163265306124,content_loss,VC,conv1_1
sub04,sub02,6000,0.5022168359235116,0.5061805658011269,0.9555102040816326,content_loss,VC,fc8
sub04,sub02,6000,0.3552168327532575,0.3636874788324452,0.9795918367346936,content_loss,VC,fc7
sub04,sub02,6000,0.37896177813773546,0.3758665548378362,0.98,content_loss,VC,fc6
sub04,sub02,6000,0.32166509879527094,0.28131403167124064,0.9840816326530613,content_loss,VC,conv5_4
sub04,sub02,6000,0.3321021414819742,0.3252657857003337,0.9959183673469388,content_loss,VC,conv5_3
sub04,sub02,6000,0.3372441573147772,0.34147732494516947,0.9963265306122449,content_loss,VC,conv5_2
sub04,sub02,6000,0.33473457808374263,0.34220865650871396,0.9983673469387756,content_loss,VC,conv5_1
sub04,sub02,6000,0.2685017864237682,0.2605030602927629,0.9967346938775511,content_loss,VC,conv4_4
sub04,sub02,6000,0.2601846264603762,0.26933864952645675,0.9963265306122449,content_loss,VC,conv4_3
sub04,sub02,6000,0.2937360214257807,0.3129696416918844,0.9955102040816327,content_loss,VC,conv4_2
sub04,sub02,6000,0.3162596469291855,0.333039325259302,0.9942857142857143,content_loss,VC,conv4_1
sub04,sub02,6000,0.2433927845743363,0.24966575849505282,0.9755102040816326,content_loss,VC,conv3_4
sub04,sub02,6000,0.26861611778716354,0.2679718490048058,0.9804081632653062,content_loss,VC,conv3_3
sub04,sub02,6000,0.20803646607848117,0.22084667567456237,0.9857142857142857,content_loss,VC,conv3_2
sub04,sub02,6000,0.18393689300944738,0.19781128844377105,0.9404081632653061,content_loss,VC,conv3_1
sub04,sub02,6000,0.10514992719686013,0.11744513144129692,0.9114285714285715,content_loss,VC,conv2_2
sub04,sub02,6000,0.17520305159158392,0.1877511962580033,0.8689795918367347,content_loss,VC,conv2_1
